nct_id	gender	max_age	max_age_in_years	max_age_number	max_age_unit	min_age	min_age_in_years	min_age_number	min_age_unit
NCT02567422	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02567435	BOTH	40 Years	40	40	Years	0 Years	0	0	Years
NCT02572453	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02749903	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02761057	BOTH	999 Years	999	999	Years	0 Years	0	0	Years
NCT02581930	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02797470	BOTH	999 Years	999	999	Years	19 Years	19	19	Years
NCT02589522	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02595866	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02595879	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02595892	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02734537	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02595905	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02595918	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02595931	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02595944	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02642965	BOTH	21 Years	21	21	Years	1 Years	1	1	Years
NCT02750826	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02717455	BOTH	21 Years	21	21	Years	2 Years	2	2	Years
NCT02601209	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02627443	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02631733	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02631746	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02890355	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02642042	BOTH	999 Years	999	999	Years	0 Years	0	0	Years
NCT02823652	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02785952	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03077451	BOTH	999 Years	999	999	Years	19 Years	19	19	Years
NCT02724579	BOTH	21 Years	21	21	Years	3 Years	3	3	Years
NCT02689453	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02713386	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02921256	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02717507	BOTH	999 Years	999	999	Years	0 Years	0	0	Years
NCT02927249	BOTH	69 Years	69	69	Years	18 Years	18	18	Years
NCT02933489	FEMALE	75 Years	75	75	Years	40 Years	40	40	Years
NCT02728596	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02728258	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT03055013	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02723864	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03091660	BOTH	999 Years	999	999	Years	0 Years	0	0	Years
NCT02839343	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02808650	BOTH	21 Years	21	21	Years	12 Months	1	12	Months
NCT02775851	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02775812	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02780804	BOTH	21 Years	21	21	Years	12 Months	1	12	Months
NCT03030417	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03165721	BOTH	999 Years	999	999	Years	12 Years	12	12	Years
NCT03137771	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03033992	BOTH	21 Years	21	21	Years	5 Years	5	5	Years
NCT03041701	BOTH	999 Years	999	999	Years	0 Years	0	0	Years
NCT03070886	MALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02828358	BOTH	364 Days	0.9972602739726028	364	Days	0 Days	0	0	Days
NCT03141684	BOTH	999 Years	999	999	Years	6 Years	6	6	Years
NCT02834013	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
